ID,MLS,Title,Currency,Price,Type,listingType,District,Description,Bedrooms,Bathrooms,Garage,Stories,Zoning,SquareFt,Acreage,YearBuilt,Views,Furnished,Tennis,Dock,Alarm,Gym,Pictures,Videos
34,405555,"Autumn Place-Cayman Brac",cid,32050,Land,"Low Density Residential","Cayman Brac East","<p>Great opportunity!! excellent for first time buyers. great neighborhood for a great family.</p>",,,No,,"High Density Residential",,0.2419,0,"Water View",,0,0,0,0,"https://images.remax.ky/listings/34/autumn-place-cayman-brac-405555.jpg, https://images.remax.ky/listings/34/17348_photo_2.jpg, https://images.remax.ky/listings/34/17348_photo_3.jpg, https://images.remax.ky/listings/34/17348_photo_6.jpg, https://images.remax.ky/listings/34/17348_ariel_photo.jpg, https://images.remax.ky/listings/34/17348_photo_7.jpg, https://images.remax.ky/listings/34/17348_photo_5.jpg, https://images.remax.ky/listings/34/17348_photo_8.jpg",
342,408477,"Grand Hyatt – Beach Resort – Beachfront Studio Suite",usd,802000,Residential,Condominium,"George Town Centr","<p>Gorgeous 5 star Suite with top of the line finishes and fixtures. Stunning views of the beach, landscaped grounds and pools, cruise ships, and George Town. Very efficient size and price point for owner's occasional use and rental income. Resort features 2 pools, Jacuzzi, sandy ocean lagoon, spa, gym, yoga and meditation areas, VIP lounge, 5 restaurants and bars, kids activity club, watersports, dive shop, private screening room, and much more. Tremendous value!!</p>",1,1,No,,,610,1,2021,"Beach Front",No,0,0,1,1,"https://images.remax.ky/listings/342/ca005926e5983266dadcb8eb.jpg, https://images.remax.ky/listings/342/18579_gh-2.jpg, https://images.remax.ky/listings/342/18579_gh-3.jpg, https://images.remax.ky/listings/342/18579_gh-4.jpg, https://images.remax.ky/listings/342/b13d9f2a09b524a2c46b6b98.jpg, https://images.remax.ky/listings/342/cee5f64575f3e275b4514d56.jpg, https://images.remax.ky/listings/342/cb788db10d6672fbee256a5f.jpg, https://images.remax.ky/listings/342/63a7c6e030b7aa1efbcf10f6.jpg, https://images.remax.ky/listings/342/127423f7a25e325d6a4dafe0.jpg, https://images.remax.ky/listings/342/1530ad48474a99cab244711f.jpg, https://images.remax.ky/listings/342/d8ff8c231eed59993ebc918b.jpg, https://images.remax.ky/listings/342/a8281ecdeb4a03757e950fbc.jpg, https://images.remax.ky/listings/342/785ca8afbc4f997d48d65954.jpg, https://images.remax.ky/listings/342/80fc8b3e3f019412383d57f9.jpg, https://images.remax.ky/listings/342/f7db25ce51f67f3e735d9f5a.jpg, https://images.remax.ky/listings/342/216d36b27dcb62797fc1f505.jpg, https://images.remax.ky/listings/342/6e2b92d4e813b6c7bd920eed.jpg, https://images.remax.ky/listings/342/f253541e8005bc34c8016915.jpg, https://images.remax.ky/listings/342/ddce62aa848423cf87ad3969.jpg, https://images.remax.ky/listings/342/ee067cdfbd6b91b243896a3f.jpg, https://images.remax.ky/listings/342/84e0a7fd27c55c491b7e775e.jpg, https://images.remax.ky/listings/342/160e192c1a67d531f5cd99cf.jpg, https://images.remax.ky/listings/342/0e739992050dfba5d9a5c9b7.jpg, https://images.remax.ky/listings/342/6cd09cd4dc648f1a08ff87c7.jpg, https://images.remax.ky/listings/342/604e8dd88c30f194267692cc.jpg, https://images.remax.ky/listings/342/93c094accd88e52d8760e577.jpg, https://images.remax.ky/listings/342/8ac9b000802bf70ecbf08281.jpg, https://images.remax.ky/listings/342/cd7db22d757e5f62739bf21e.jpg, https://images.remax.ky/listings/342/2a72a9fe-e855-4242-8be7-c1187f078eb7.jpeg, https://images.remax.ky/listings/342/05d6fae6-4d8d-40fc-a05c-d9f686b1848c.jpeg, https://images.remax.ky/listings/342/b69dc2a1-c57d-4b34-b522-cfcaf6d37be1.jpeg, https://images.remax.ky/listings/342/f22a56a9-9eb5-4dad-ae41-b73a8506d699.jpeg",
406,408639,"North Sound Land - George Town",usd,4895000,Land,Commercial,"George Town East","<p>Direct road frontage on new airport corridor road from Seven Mile Beach. Incredible North Sound frontage development parcel in prime George Town location and directly adjacent to the developing G.T. Yacht Club.  Perfect site for Marine Commercial mixed use type of commercial and residential development.  Develop in phases to meet the ongoing high demand for residential accommodations and commercial business, as this area builds critical mass to support more development.</p>",,,No,,"Commercial Marine",,3.39,,"Water Front",,0,0,0,0,https://images.remax.ky/listings/406/50093e3de24e9f9bed194d1c.jpg,
426,413052,"Seaview Road Beachfront Home",usd,3200000,Residential,"Single Family Home","Midland East","<p>Escape to your own tropical sanctuary. Located in the heart of Frank Sound on the South coast, Seaview Road Beachfront Home features stunning vistas looking straight out over its private beach and reef. Experience lovely onshore breezes from a covered patio that extends to the infinity pool, swaying palm trees and Sea in the distance.</p>
<p>Experiencing the island life should be as easy as walking through your own front door and this home captures that feel with open spaces and high-end Tommy Bahama inspired furnishings and fixtures. On the main entry, the large living room opens to the patio creating an indoor/outdoor feel, the kitchen includes a separate breakfast nook area, and the dining room features a bay window looking out to the lush gardens. The downstairs also features a separate bedroom with en suite bathroom plus an office or games room that looks out over the Sea.</p>
<p>As you head upstairs, the second level is anchored by a large family room with stunning views of the Sea with its own large patio that is also accessible from the master suite. The master suite is basically its own wing upstairs with en suite bathroom and separate den area with bay window. Three other bedrooms are also located upstairs.</p>
<p>The property also features a separate guest house and garage facilities and is very well hidden from the road due to the depth of the site, allowing for natural foliage and grape trees to create a very thick hedge row.</p>",5,5,2,2,"Low Density Residential",5300,0.70,2004,"Beach Front",Partially,0,1,1,0,"https://images.remax.ky/listings/426/000.jpg, https://images.remax.ky/listings/426/00.jpg, https://images.remax.ky/listings/426/01.jpg, https://images.remax.ky/listings/426/02.jpg, https://images.remax.ky/listings/426/03.jpg, https://images.remax.ky/listings/426/04.jpg, https://images.remax.ky/listings/426/05.jpg, https://images.remax.ky/listings/426/06.jpg, https://images.remax.ky/listings/426/08.jpg, https://images.remax.ky/listings/426/09.jpg, https://images.remax.ky/listings/426/10.jpg, https://images.remax.ky/listings/426/11.jpg, https://images.remax.ky/listings/426/12.jpg, https://images.remax.ky/listings/426/13.jpg, https://images.remax.ky/listings/426/14.jpg, https://images.remax.ky/listings/426/15.jpg, https://images.remax.ky/listings/426/38-2-.jpg, https://images.remax.ky/listings/426/16.jpg, https://images.remax.ky/listings/426/17.jpg, https://images.remax.ky/listings/426/18.jpg, https://images.remax.ky/listings/426/19.jpg, https://images.remax.ky/listings/426/20.jpg, https://images.remax.ky/listings/426/21.jpg, https://images.remax.ky/listings/426/22.jpg, https://images.remax.ky/listings/426/23.jpg, https://images.remax.ky/listings/426/24.jpg, https://images.remax.ky/listings/426/25.jpg, https://images.remax.ky/listings/426/26.jpg, https://images.remax.ky/listings/426/27.jpg, https://images.remax.ky/listings/426/28.jpg, https://images.remax.ky/listings/426/29.jpg, https://images.remax.ky/listings/426/30.jpg, https://images.remax.ky/listings/426/31.jpg, https://images.remax.ky/listings/426/32.jpg, https://images.remax.ky/listings/426/34.jpg, https://images.remax.ky/listings/426/35.jpg, https://images.remax.ky/listings/426/36.jpg, https://images.remax.ky/listings/426/37.jpg, https://images.remax.ky/listings/426/38.jpg, https://images.remax.ky/listings/426/39.jpg, https://images.remax.ky/listings/426/40.jpg, https://images.remax.ky/listings/426/41.jpg, https://images.remax.ky/listings/426/42.jpg, https://images.remax.ky/listings/426/43.jpg",
485,,"Brac land",cid,35000,Land,"Low Density Residential","Cayman Brac East","<p>Parcel of land located in Cayman Brac.  Great for investment or vacation home.</p>
<p> </p>
<p> </p>",,,No,1,"Low Density Residential",1007,0.41,,"Garden View",,0,0,0,0,https://images.remax.ky/listings/485/fc2700bd638d25290f811139.jpg,
557,409140,"Brac 1.82 Acre Hotel Site",usd,1249000,Land,"Little Cayman/Cayman Brac","Cayman Brac West","<p>1.82 Acre Parcel On Choicest Section of Cayman Brac Water Front.  Close in to Everything.  Located in Area Referred to as ""Hotel Row"".  400 Feet of Sandy Beach Front Sets It Apart from Majority of Large Waterfront Parcels in the Brac that are Rocky Shoreline.  Adjoining 2.5 Acre Parcel Also For Sale.  Buy Both and Have 4.5 Acres with 820 Feet of Beach Frontage!</p>",,,No,,,,1.82,,"Beach Front",,0,0,0,0,"https://images.remax.ky/listings/557/730f02a0d8714bae43ace88e.jpg, https://images.remax.ky/listings/557/cc88254140b8bbd560c60644.jpg, https://images.remax.ky/listings/557/f456d2fac2ea13c6f93d27eb.jpg",
629,,"Technology Centre",cid,0,Commercial,Office,"George Town Centr","<p>Stunning 2nd floor fitted office space with Bypass frontage, huge visibility in modern and new office development. Full energy efficient space.&nbsp; <br><p><br></p><p><br></p></p>
",2,2,,2,Commercial,3283,1,2017,Inland,No,0,0,0,0,"https://images.remax.ky/listings/629/a9dae6b404a8984f5d1c9107.jpg, https://images.remax.ky/listings/629/287e50d96baf25cc2a12fa78.jpg",
634,,"Seven Mile Shops, PRIME SPACE",cid,0,Commercial,Retail,"W Bay Bch South","<p>A&nbsp; RARE OPPORTUNITY - 3000sf available for lease with possible outside area for seating for a hospitality type business. Currently set up as creche. Leasing now at CI$30 per sf, plus CAM of CI$8.50<br><p><br></p></p>
",,,,1,Commercial,3000,1,2000,"Garden View",,0,0,0,0,"https://images.remax.ky/listings/634/730d9e88fe7f5a1fbc03bb03.jpg, https://images.remax.ky/listings/634/ae45b1eda8db72c2ed6ed2e9.jpg",
651,409418,"Montage South Sound Phase 1",usd,1500000,Residential,"Standalone Home (Part of Strata)","South Sound","<p>Located within walking distance to South Sound beach, Montage South Sound Phase 1 is a family-friendly community within itself consisting of 14 private standalone homes most with their own private pools. Montage is being built specifically with families in mind where kids can run around safely within the neighborhood. Its excellent location on Walkers Road, which is on the same side of the street as the schools, allows parents and kids to walk to school within a few minutes. These partially colonial Caymanian style homes with a hardy plank accent tout amazing, open flow floor plans with families in mind. Built with energy efficiency technology, these homes feature generously sized bedrooms, a beautiful master with ensuite and lots of extra space. Each home has a single car garage, as well as front and back porches. Easy access to town and sports. Additional upgrades available. Construction will commence 3 months after signing and exchanging of formal contracts and deposits! Included in the maintenance fees: gate, street light, front yard landscaping, buttonwood hedge in front, garbage removal, driveway.</p>
<p> </p>
<p> </p>",4,3,Yes,,"Low Density Residential",3590,,2020,"Garden View",No,0,0,1,0,"https://images.remax.ky/listings/651/photo-ouline-pink.jpg, https://images.remax.ky/listings/651/66fca49edfbff5d2c55bbf87.jpg, https://images.remax.ky/listings/651/56aec5f29e25ba725a029105.jpg, https://images.remax.ky/listings/651/249af768a04763f8459ce75a.jpg, https://images.remax.ky/listings/651/44dc2543aed70dee843cc077.jpg, https://images.remax.ky/listings/651/db15471dcb7ba754c401ffbf.jpg, https://images.remax.ky/listings/651/7b89e5ab5544f08baf455520.jpg",
653,409419,"Montage South Sound with Pool ",usd,1630000,Residential,"Standalone Home (Part of Strata)","South Sound","<p>Located within walking distance to South Sound beach, Montage South Sound Phase 1 is a family-friendly community within itself consisting of 14 private standalone homes most with their own private pools. Montage is being built specifically with families in mind where kids can run around safely within the neighbourhood. Its excellent location on Walkers Road, which is on the same side of the street as the schools, allows parents and kids to walk to school within a few minutes. These partially colonial Caymanian style homes with a hardy plank accent tout amazing, open flow floor plans with families in mind. Built with energy efficiency technology, these homes feature generously sized bedrooms, a beautiful master with ensuite and lots of extra space. Each home has a single car garage, as well as front and back porches. Easy access to town and sports. Additional upgrades available.Construction will commence 3 months after signing and exchanging of formal contracts and deposits! Included in the maintenance fees: gate, street light, front yard landscaping, buttonwood hedge in front, garbage removal, driveway.</p>
<p> </p>
<p> </p>",4,3,Yes,,,3750,,2020,"Garden View",No,0,0,0,0,"https://images.remax.ky/listings/653/efd95245216b43836f47b4d2.jpg, https://images.remax.ky/listings/653/f97e0b0164d0b99b97e045af.jpg, https://images.remax.ky/listings/653/f7a963d3c8d91ac718c297da.jpg, https://images.remax.ky/listings/653/badab2b8e4520728c74ec349.jpg, https://images.remax.ky/listings/653/a81dbe4b558c975460d95b94.jpg, https://images.remax.ky/listings/653/907a926e1b859be84371ac1a.jpg, https://images.remax.ky/listings/653/46ce4b5a9a65c25b61c6075d.jpg, https://images.remax.ky/listings/653/a99b5d5e8f022e88b6ed2ff3.jpg, https://images.remax.ky/listings/653/e9306c61b13a286427259d5e.jpg, https://images.remax.ky/listings/653/1330d90570979e68abe6da9e.jpg, https://images.remax.ky/listings/653/0a5f23fe01a94d2a0fa589eb.jpg, https://images.remax.ky/listings/653/229d38dcaea93f2219a0ed78.jpg, https://images.remax.ky/listings/653/c40b4d6caee48f2f4f9e1e5d.jpg, https://images.remax.ky/listings/653/0eb42bc49a7c1f1d8dc6a7a4.jpg, https://images.remax.ky/listings/653/8fab478e1825187f943e9421.jpg, https://images.remax.ky/listings/653/ddad1a6a35ae91c0a059aa6a.jpg, https://images.remax.ky/listings/653/d8ef034310a1a5b079adf96f.jpg, https://images.remax.ky/listings/653/1e91c2d232cc15bd7b3c8bcf.jpg, https://images.remax.ky/listings/653/420ece46e2437ccdf404ebe9.jpg",
